0,1,2,3,4,5
-0.8395413,-2.5027473,-2.0551662,-3.8888707,-0.835585,1.0913962
1.219823,0.49304077,-2.2047687,-1.6175125,-2.3221772,-2.308552
13.143619,-6.283548,6.577474,-6.443493,-13.170052,-2.4634173
-4.0688114,-0.8710787,3.2625833,-0.5653597,-0.51466024,-2.05531
-1.9980825,0.31442168,-1.1421796,-3.4795377,-3.3815558,-1.9608494
6.476168,5.4433403,0.12551276,-7.939037,0.105658546,-2.0755112
-2.2380786,-2.0062401,2.074334,0.7131225,1.0693578,0.5061586
0.5672204,-2.5121937,2.2593915,-0.14282802,0.46512958,-0.15859705
-1.885477,-1.1278145,0.25370187,-0.5813423,1.262689,-0.92525405
-3.6267476,-1.3350978,0.5274768,1.1810312,0.70332325,-1.6630977
-2.1634352,-1.350358,0.12001072,0.04925956,-0.6490222,-0.13280177
2.0731037,-1.7086405,-2.1589801,-6.464663,-3.3362002,0.21149883
0.51610976,0.6265904,-3.444897,-1.4828954,0.9857403,3.1384113
4.479783,3.1314876,-4.7768836,-8.923622,8.712002,0.86527294
1.9765393,-1.6717939,-1.8351587,-0.9640771,-1.9060076,-0.09220485
-1.7075092,-1.575624,0.91158986,-0.99496853,-0.2909323,0.23342097
-0.68706554,-2.3920128,1.9464904,-1.6862767,-1.0756568,-0.3105527
0.032603517,-0.43116024,-0.3461368,1.5666296,1.2356116,3.2824922
-0.6454149,-1.1159852,3.353027,-1.0103339,-0.19064593,-1.8169022
-3.2316923,-0.2025052,0.97541606,0.108152315,-0.1236918,-1.0548414
-1.8139861,-2.310888,-1.9645456,-2.7951765,-1.2389283,0.111162834
-3.9255686,-2.2469766,0.24859364,-1.3545046,0.6759162,-0.5913352
-3.3794398,-1.6072063,0.06665526,-0.087949365,-0.4719014,1.347634
1.3547367,-0.5042866,-0.41893852,-2.724674,-2.0098982,1.3535057
-4.605519,-1.3770915,1.1310577,0.029745236,-0.3459651,-2.1580465
-2.5709531,-1.9997094,2.0416546,-0.8366169,-0.029858544,0.2715434
-3.001433,-1.2819853,1.086522,0.9467801,0.3083996,0.09870065
-0.5555885,-2.1714208,-2.8461683,-4.4262834,0.32705617,-0.47547904
2.4890027,-2.7476642,0.34687078,-6.4860096,2.6837785,2.6661792
-0.8548853,-0.66549134,2.9396625,1.0192769,0.4312695,-2.044683
-2.2280743,-1.186703,-0.049695715,-0.25048372,0.26926008,-0.20083275
-1.349649,-0.64829504,3.1016054,-0.9812901,2.3420413,2.7258277
-0.37792927,-1.8318632,-1.8700794,-1.80721,1.6895558,2.6646018
-2.8308063,-0.8488109,-0.11676361,-1.249101,-0.8905686,0.6050944
2.3427453,0.3720258,0.23512001,-4.2324696,-2.7827713,-2.1948817
-2.205978,-0.6784785,0.93950284,1.4688746,-2.3315594,-0.44419047
-0.67093176,-2.6919024,4.362671,0.7379056,2.9445188,3.621148
0.09273125,2.9005089,0.5835434,-2.317721,0.9410151,-2.4342794
-2.6692705,1.3260236,0.94666815,-1.1875262,-1.019048,-1.4556264
